rankValue,baselineRankValueCount
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,15540
49,0
50,0
51,15540
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,15540
83,0
84,0
85,15540
86,15540
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,15540
103,0
104,0
105,15540
106,31080
107,0
108,0
109,0
110,0
111,0
112,15540
113,0
114,0
115,15540
116,46620
117,0
118,0
119,15540
120,46620
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,15540
152,0
153,0
154,15540
155,15540
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,15540
172,0
173,0
174,15540
175,31080
176,0
177,0
178,0
179,0
180,0
181,15540
182,0
183,0
184,15540
185,46620
186,0
187,0
188,15540
189,46620
190,46620
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,15540
207,0
208,0
209,15540
210,31080
211,0
212,0
213,0
214,0
215,0
216,15540
217,0
218,0
219,15540
220,46620
221,0
222,0
223,15540
224,46620
225,77700
226,0
227,0
228,0
229,0
230,0
231,15540
232,0
233,0
234,15540
235,46620
236,0
237,0
238,15540
239,46620
240,93240
241,0
242,0
243,15540
244,46620
245,93240
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,15540
277,0
278,0
279,15540
280,15540
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,15540
297,0
298,0
299,15540
300,31080
301,0
302,0
303,0
304,0
305,0
306,15540
307,0
308,0
309,15540
310,46620
311,0
312,0
313,15540
314,46620
315,46620
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,15540
332,0
333,0
334,15540
335,31080
336,0
337,0
338,0
339,0
340,0
341,15540
342,0
343,0
344,15540
345,46620
346,0
347,0
348,15540
349,46620
350,77700
351,0
352,0
353,0
354,0
355,0
356,15540
357,0
358,0
359,15540
360,46620
361,0
362,0
363,15540
364,46620
365,93240
366,0
367,0
368,15540
369,46620
370,93240
371,93240
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,15540
388,0
389,0
390,15540
391,31080
392,0
393,0
394,0
395,0
396,0
397,15540
398,0
399,0
400,15540
401,46620
402,0
403,0
404,15540
405,46620
406,77700
407,0
408,0
409,0
410,0
411,0
412,15540
413,0
414,0
415,15540
416,46620
417,0
418,0
419,15540
420,46620
421,93240
422,0
423,0
424,15540
425,46620
426,93240
427,139860
428,0
429,0
430,0
431,0
432,0
433,15540
434,0
435,0
436,15540
437,46620
438,0
439,0
440,15540
441,46620
442,93240
443,0
444,0
445,15540
446,46620
447,93240
448,155400
449,0
450,0
451,15540
452,46620
453,93240
454,155400
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,15540
486,0
487,0
488,15540
489,15540
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
